error,dataset,split,task_id,result,avg_test_time,passed_tests,compiled,loc,lloc,sloc,comments,multi,blank,single_comments,CC,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,MI,model
,mbpp,test,0,passed,5.178179999347776e-05,True,True,10.0,12.0,10.0,0.0,0.0,0.0,0.0,5.0,4.0,10.0,9.0,16.0,14.0,25.0,41.219280948873624,95.18387305144007,3.2,304.58839376460827,16.921577431367126,0.0317279576838133,61.93233773944609,codeLLama_0_shot
,mbpp,test,1,passed,0.0001234519666695,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_0_shot
,mbpp,test,2,passed,0.0001743597999848,True,True,6.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_0_shot
,mbpp,test,3,passed,3.359273333292852e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,3.0,6.0,8.0,9.0,17.509775004326936,27.0,1.0,27.0,1.5,0.009,83.27641167936048,codeLLama_0_shot
,mbpp,test,4,passed,5.40794000016831e-05,True,True,4.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_0_shot
,mbpp,test,5,passed,4.274400000004637e-05,True,True,6.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_0_shot
,mbpp,test,6,passed,2.5916033333335994e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,88.5574946685516,codeLLama_0_shot
,mbpp,test,7,"failed: unindent does not match any outer indentation level (<string>, line 4)",,False,False,,,,,,,,,,,,,,,,,,,,,,codeLLama_0_shot
,mbpp,test,8,passed,5.503693333253068e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,88.5574946685516,codeLLama_0_shot
,mbpp,test,9,passed,5.5862633333466266e-05,True,True,13.0,13.0,13.0,0.0,0.0,0.0,0.0,5.0,4.0,7.0,9.0,18.0,11.0,27.0,27.651484454403228,93.40465370320705,5.142857142857143,480.3667904736363,26.687043915202015,0.0311348845677356,61.231418905071784,codeLLama_0_shot
,mbpp,test,10,passed,5.417656666774444e-05,True,True,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,81.12095583420833,codeLLama_0_shot
,mbpp,test,11,passed,5.116123333361126e-05,True,True,7.0,7.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,3.0,5.0,5.0,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456,73.70567794030467,codeLLama_0_shot
,mbpp,test,12,passed,0.0001265303666665,True,True,8.0,8.0,8.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,3.0,5.0,5.0,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456,72.44064369438814,codeLLama_0_shot
,mbpp,test,13,failed: int() can't convert non-string with explicit base,,False,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_0_shot
,mbpp,test,14,passed,7.641773333186089e-05,True,True,7.0,7.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,3.0,6.0,9.0,9.0,20.264662506490406,28.529325012980813,1.5,42.793987519471216,2.377443751081734,0.0095097750043269,70.97158277989028,codeLLama_0_shot
,mbpp,test,15,passed,0.0001129308333332,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,88.28848882059837,codeLLama_0_shot
,mbpp,test,16,passed,7.183863333466433e-05,True,True,6.0,5.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_0_shot
,mbpp,test,17,passed,0.0005480689,True,True,6.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,5.0,8.0,8.0,16.0,13.0,24.0,35.60964047443681,88.81055323538621,5.0,444.0527661769311,24.669598120940616,0.0296035177451287,68.84425033507681,codeLLama_0_shot
,mbpp,test,18,passed,6.903179999729521e-05,True,True,9.0,9.0,9.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,5.0,9.0,12.0,14.0,31.26112492884004,50.18947501009619,3.2142857142857144,161.32331253245204,8.962406251802891,0.0167298250033653,66.60396143896465,codeLLama_0_shot
,mbpp,test,19,passed,3.7465799999836234e-05,True,True,10.0,9.0,9.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,4.0,7.0,9.0,11.0,20.264662506490406,34.86917501586544,1.75,61.021056277764515,3.3900586820980285,0.0116230583386218,67.84597964857223,codeLLama_0_shot
,mbpp,test,20,failed: ,,False,True,19.0,19.0,19.0,0.0,0.0,0.0,0.0,8.0,4.0,7.0,4.0,8.0,11.0,12.0,27.651484454403228,41.51317942364757,2.2857142857142856,94.88726725405158,5.27151484744731,0.0138377264745491,59.69873191834984,codeLLama_0_shot
,mbpp,test,21,"failed: unterminated string literal (detected at line 1) (<string>, line 1)",,False,False,,,,,,,,,,,,,,,,,,,,,,codeLLama_0_shot
,mbpp,test,22,failed: ,,False,True,7.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,5.0,10.0,12.0,15.0,31.26112492884004,53.77443751081735,3.5714285714285716,192.0515625386334,10.6695312521463,0.0179248125036057,69.17854085792285,codeLLama_0_shot
,mbpp,test,23,passed,4.961099999999756e-05,True,True,13.0,13.0,13.0,0.0,0.0,0.0,0.0,5.0,8.0,14.0,15.0,29.0,22.0,44.0,77.30296890880645,196.21499122004107,8.285714285714286,1625.7813558231976,90.32118643462208,0.065404997073347,58.97422424467975,codeLLama_0_shot
,mbpp,test,24,passed,2.6166733332881145e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,4.0,5.0,6.0,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,1.0319680421721609,0.0046438561897747,85.28853641650139,codeLLama_0_shot
,mbpp,test,25,passed,3.489526666666798e-05,True,True,7.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,5.0,10.0,11.0,15.0,27.11941547876375,51.89147427955947,4.166666666666667,216.21447616483113,12.011915342490616,0.0172971580931864,69.28693108850561,codeLLama_0_shot
,mbpp,test,26,passed,0.0001062069666666,True,True,4.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,81.45282547260356,codeLLama_0_shot
,mbpp,test,27,passed,6.150000000009944e-05,True,True,11.0,6.0,6.0,3.0,0.0,2.0,3.0,7.0,6.0,12.0,13.0,21.0,18.0,34.0,58.52932501298082,141.7774500490386,5.25,744.3316127574527,41.35175626430293,0.0472591500163462,96.09517281348307,codeLLama_0_shot
,mbpp,test,28,passed,3.990913332927448e-05,True,True,17.0,18.0,16.0,0.0,0.0,1.0,0.0,7.0,5.0,13.0,11.0,20.0,18.0,31.0,59.71535681027101,129.26767504471167,3.8461538461538463,497.18336555658334,27.621298086476852,0.0430892250149038,56.89132993962923,codeLLama_0_shot
,mbpp,test,29,failed: ,,False,True,6.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_0_shot
,mbpp,test,30,passed,7.328159999815398e-05,True,True,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,81.12095583420833,codeLLama_0_shot
,mbpp,test,31,failed: ,,False,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_0_shot
,mbpp,test,32,passed,6.118996666752234e-05,True,True,8.0,7.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_0_shot
,mbpp,test,33,passed,4.301456666553349e-05,True,True,6.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_0_shot
,mbpp,test,34,passed,4.5401866666668526e-05,True,True,11.0,10.0,10.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,4.0,5.0,6.0,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,1.0319680421721609,0.0046438561897747,69.77222402969879,codeLLama_0_shot
,mbpp,test,35,passed,4.410943333823525e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,88.5574946685516,codeLLama_0_shot
,mbpp,test,36,passed,6.124283333216832e-05,True,True,10.0,10.0,10.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,9.0,18.0,16.0,27.0,48.72905595320056,108.0,5.4,583.2,32.400000000000006,0.036,63.40996439324592,codeLLama_0_shot
,mbpp,test,37,passed,3.063040000294374e-05,True,True,10.0,10.0,10.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,7.0,14.0,15.0,21.0,44.039100017307746,82.0447025077789,4.666666666666667,382.8752783696349,21.27084879831305,0.0273482341692596,64.38032010933495,codeLLama_0_shot
,mbpp,test,38,passed,0.0002104578666679,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_0_shot
,mbpp,test,39,passed,0.0001129656333333,True,True,4.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,codeLLama_0_shot
,mbpp,test,40,passed,3.534856667405014e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,4.0,5.0,4.754887502163469,10.0,0.5,5.0,0.2777777777777778,0.0033333333333333,86.29682642769582,codeLLama_0_shot
,mbpp,test,41,passed,2.2125733333192937e-05,True,True,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,88.5574946685516,codeLLama_0_shot
,mbpp,test,42,passed,2.8232766665799625e-05,True,True,5.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,5.0,5.0,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456,77.02781257964013,codeLLama_0_shot
,mbpp,test,43,passed,0.0001019578666666,True,True,11.0,11.0,11.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,5.0,10.0,8.0,15.0,17.509775004326936,45.0,1.6666666666666667,75.0,4.166666666666667,0.015,65.16926996132207,codeLLama_0_shot
,mbpp,test,44,passed,3.6987033333465054e-05,True,True,5.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,78.39554672677042,codeLLama_0_shot
,mbpp,test,45,passed,3.0670666666310355e-05,True,True,9.0,8.0,8.0,0.0,0.0,1.0,0.0,2.0,6.0,12.0,8.0,16.0,18.0,24.0,58.52932501298082,100.07820003461548,4.0,400.312800138462,22.23960000769233,0.0333594000115385,66.02461827192045,codeLLama_0_shot
,mbpp,test,46,passed,4.552130000021748e-05,True,True,6.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,74.41979541019013,codeLLama_0_shot
