,dataset,split,task_id,model,code,result,compiled,passed_tests,avg_test_time,loc,lloc,sloc,comments,multi,blank,single_comments,CC,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,MI
0,mbpp,train,0,canonical_solution,"# Write a function to find the longest chain which can be formed from the given set of pairs.
class Pair(object): 
	def __init__(self, a, b): 
		self.a = a 
		self.b = b 
def max_chain_length(arr, n): 
	max = 0
	mcl = [1 for i in range(n)] 
	for i in range(1, n): 
		for j in range(0, i): 
			if (arr[i].a > arr[j].b and
				mcl[i] < mcl[j] + 1): 
				mcl[i] = mcl[j] + 1
	for i in range(n): 
		if (max < mcl[i]): 
			max = mcl[i] 
	return max",passed,True,True,0.00010681143333310198,17,15,16,1,0,0,1,8,4,11,6,12,15,18,46.053747805010275,70.32403072095333,2.1818181818181817,153.43424884571635,8.52412493587313,0.02344134357365111,74.67919633550191
1,mbpp,train,1,canonical_solution,"# Write a python function to find the first repeated character in a given string.
def first_repeated_char(str1):
  for index,c in enumerate(str1):
    if str1[:index+1].count(c) > 1:
      return c 
  return ""None""",passed,True,True,2.9416966666910107e-05,6,5,5,1,0,0,1,3,2,3,2,4,5,6,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,1.0319680421721609,0.004643856189774725,99.71957616324164
2,mbpp,train,2,canonical_solution,"# Write a function to get a lucid number smaller than or equal to n.
def get_ludic(n):
	ludics = []
	for i in range(1, n + 1):
		ludics.append(i)
	index = 1
	while(index != len(ludics)):
		first_ludic = ludics[index]
		remove_index = index + first_ludic
		while(remove_index < len(ludics)):
			ludics.remove(ludics[remove_index])
			remove_index = remove_index + first_ludic - 1
		index += 1
	return ludics",passed,True,True,8.382863333433003e-05,14,13,13,1,0,0,1,4,4,8,7,14,12,21,32.0,75.28421251514429,3.5,263.494743803005,14.638596877944723,0.025094737505048096,77.9157871089953
3,mbpp,train,3,canonical_solution,"# Write a function to reverse words in a given string.
def reverse_words(s):
        return ' '.join(reversed(s.split()))",passed,True,True,3.235133333040115e-05,3,2,2,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
4,mbpp,train,4,canonical_solution,"# Write a function to check if the given integer is a prime number.
def prime_num(num):
  if num >=1:
   for i in range(2, num//2):
     if (num % i) == 0:
                return False
     else:
                return True
  else:
          return False",passed,True,True,2.62007333276415e-05,10,9,9,1,0,0,1,4,4,6,4,8,10,12,23.509775004326936,39.863137138648355,2.6666666666666665,106.3016990363956,5.905649946466422,0.013287712379549451,86.0667731565632
5,mbpp,train,5,canonical_solution,"# Write a function to convert degrees to radians.
import math
def radian_degree(degree):
 radian = degree*(math.pi/180)
 return radian",passed,True,True,3.226386666786614e-05,5,4,4,1,0,0,1,1,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,100.0
6,mbpp,train,6,canonical_solution,"# Write a function to search a literals string in a string and also find the location within the original string where the pattern occurs by using regex.
import re
pattern = 'fox'
text = 'The quick brown fox jumps over the lazy dog.'
def find_literals(text, pattern):
  match = re.search(pattern, text)
  s = match.start()
  e = match.end()
  return (match.re.pattern, s, e)",passed,True,True,4.702913333479349e-05,9,8,8,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
7,mbpp,train,7,canonical_solution,"# Write a python function to find nth bell number.
def bell_Number(n): 
    bell = [[0 for i in range(n+1)] for j in range(n+1)] 
    bell[0][0] = 1
    for i in range(1, n+1):
        bell[i][0] = bell[i-1][i-1]
        for j in range(1, i+1): 
            bell[i][j] = bell[i-1][j-1] + bell[i][j-1] 
    return bell[n][0] ",passed,True,True,3.907790000046892e-05,9,8,8,1,0,0,1,5,2,6,10,20,8,30,17.509775004326936,90.0,3.3333333333333335,300.0,16.666666666666668,0.03,85.4993700520134
8,mbpp,train,8,canonical_solution,"# Write a python function to find minimum possible value for the given periodic function.
def floor_Min(A,B,N):
    x = max(B - 1,N)
    return (A*x) // B",passed,True,True,3.343183333299748e-05,4,3,3,1,0,0,1,1,3,5,3,6,8,9,16.36452797660028,27.0,1.8,48.6,2.7,0.009,100.0
9,mbpp,train,9,canonical_solution,"# Write a python function to remove the k'th element from a given list.
def remove_kth_element(list1, L):
    return  list1[:L-1] + list1[L:]",passed,True,True,0.00011763920000002296,3,3,2,1,0,0,1,1,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,100.0
